Record Date,Electronic Category Description,Channel Type Description,Tax Category Description,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-12-24,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,150149950.49,2,1,3,9,2025,1,2024,4,12,24
2024-12-24,Electronic Settlement,Mail,IRS Tax,461913342.50,3,2,3,10,2025,1,2024,4,12,24
2024-12-24,Electronic Settlement,Mail,Non-Tax,69746131.58,3,2,1,11,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,22538547.71,1,1,1,12,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - All,Internet,Non-Tax,739489024.15,1,3,1,13,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - All,Internet,IRS Tax,8821237508.21,1,3,3,14,2025,1,2024,4,12,24
2024-12-23,Fully Electronic - All,Bank,IRS Non-Tax,301.17,1,5,2,4,2025,1,2024,4,12,23
2024-12-23,Non-Electronic,Over-the-Counter (OTC),IRS Tax,18173717.12,4,1,3,6,2025,1,2024,4,12,23
2024-12-23,Non-Electronic,Mail,Non-Tax,850.00,4,2,1,1,2025,1,2024,4,12,23
2024-12-23,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,218106.99,3,1,1,2,2025,1,2024,4,12,23
2024-12-23,Non-Electronic,Over-the-Counter (OTC),Non-Tax,14929351.20,4,1,1,3,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Internet,IRS Non-Tax,1073304.01,1,3,2,8,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,115733255.02,2,1,1,9,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Bank,Non-Tax,3011951014.83,1,5,1,10,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Bank,IRS Tax,2786511.00,1,5,3,5,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,188680.23,2,1,2,7,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,149778494.19,2,1,3,11,2025,1,2024,4,12,23
2024-12-23,Electronic Settlement,Mail,Non-Tax,72390963.94,3,2,1,12,2025,1,2024,4,12,23
2024-12-23,Electronic Settlement,Mail,IRS Tax,270832476.98,3,2,3,13,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,59602498.71,1,1,1,14,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Internet,Non-Tax,6047014279.07,1,3,1,15,2025,1,2024,4,12,23
2024-12-23,Fully Electronic - All,Internet,IRS Tax,36157867764.75,1,3,3,16,2025,1,2024,4,12,23
2024-12-20,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,48855.57,2,1,2,3,2025,1,2024,4,12,20
2024-12-20,Non-Electronic,Over-the-Counter (OTC),IRS Tax,3379222.70,4,1,3,4,2025,1,2024,4,12,20
2024-12-20,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,1635754.24,3,1,1,1,2025,1,2024,4,12,20
2024-12-20,Non-Electronic,Over-the-Counter (OTC),Non-Tax,31174476.02,4,1,1,2,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - All,Internet,IRS Non-Tax,2993568.00,1,3,2,5,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,128704497.96,2,1,1,6,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,160704635.58,2,1,3,7,2025,1,2024,4,12,20
2024-12-20,Electronic Settlement,Mail,IRS Tax,316748487.23,3,2,3,9,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - All,Bank,Non-Tax,1835288445.63,1,5,1,8,2025,1,2024,4,12,20
2024-12-20,Electronic Settlement,Mail,Non-Tax,53342056.98,3,2,1,10,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,17630237.33,1,1,1,11,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - All,Internet,Non-Tax,955976463.71,1,3,1,12,2025,1,2024,4,12,20
2024-12-20,Fully Electronic - All,Internet,IRS Tax,16199898028.02,1,3,3,13,2025,1,2024,4,12,20
2024-12-19,Non-Electronic,Over-the-Counter (OTC),Non-Tax,16446357.63,4,1,1,2,2025,1,2024,4,12,19
2024-12-19,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,913466.22,3,1,1,1,2025,1,2024,4,12,19
2024-12-19,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,22310.40,2,1,2,5,2025,1,2024,4,12,19
